id_seq,actuator1,actuator2,actuator3,actuator4,actuator5,actuator6,before_stimuli(ms),after_stimuli(ms),time_answer(ms),value_answer(0:6)
0,1,1,0,1,0,0,1006.324470,1259.315209,0.000000,1
1,1,0,1,1,1,1,1023.299844,1276.265693,0.000000,2
2,1,1,0,1,1,1,266.211084,519.287245,0.000000,3
3,1,1,1,1,1,1,380.045282,637.638693,0.000000,3
4,1,1,0,1,0,1,623.510345,876.455938,0.000000,3
5,1,1,1,1,1,1,256.265197,513.715435,0.000000,3
6,1,1,1,0,1,1,2645.189830,2898.182980,0.000000,3
7-1,-1,-1,-1,-1,-1, -1,-1,-1, -1
8-1,-1,-1,-1,-1,-1, -1,-1,-1, -1
9-1,-1,-1,-1,-1,-1, -1,-1,-1, -1
10,1,1,0,1,1,1,991.658054,1244.857100,0.000000,1
11,1,0,1,1,0,1,2021.334909,2274.508129,0.000000,1
12,1,0,0,0,0,0,317.339161,570.341499,0.000000,2
13,0,1,1,1,0,0,1253.476130,1506.486751,0.000000,3
